date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:02	70337/70337	---M--	200	added ('OK')	image/jpeg	etag:%22ab1fac6a2c7358bba3151d57baf4d8cd%22	https://wieisdemol.assets.avrotros.nl/_processed_/f/a/csm_NDM-thumbnail-AnnickV2_6687f34bde.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/f/a/csm_NDM-thumbnail-AnnickV2_6687f34bde.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:04	107435/107435	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2015:01:00%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/aflevering-4-weglopen/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/aflevering-4-weglopen/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:04	122747/122747	---M--	200	added ('OK')	image/png	etag:%22ad2675ad528c1253d86f16b7609a81bd%22	https://wieisdemol.assets.avrotros.nl/_processed_/9/a/csm_widm23-aflevering4-weglopen2_1cd7b5dcee.png	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/9/a/csm_widm23-aflevering4-weglopen2_1cd7b5dcee.png	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:05	32262/32262	---M--	200	added ('OK')	image/jpeg	etag:%222fe82c7b3bc0dccd0808197ffb3273e4%22	https://wieisdemol.assets.avrotros.nl/_processed_/2/e/csm_NDM-thumbnail-Sander_5fef2177a4.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/2/e/csm_NDM-thumbnail-Sander_5fef2177a4.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:06	32545/32545	---M--	200	added ('OK')	image/jpeg	etag:%223f7af30cd7ab87f14ec6ee3a3175d9be%22	https://wieisdemol.assets.avrotros.nl/_processed_/0/b/csm_moltalk4_7e20927f42.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/0/b/csm_moltalk4_7e20927f42.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:06	100693/100693	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2015:03:13%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-annick-boer/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-annick-boer/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:06	171207/171207	---M--	200	added ('OK')	image/png	etag:%22755966f27cd46f2bab7ff83497c2e49a%22	https://wieisdemol.assets.avrotros.nl/_processed_/6/5/csm_widm-dagboekafvaller4_88e68013d8.png	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/6/5/csm_widm-dagboekafvaller4_88e68013d8.png	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:07	27878/27878	---M--	200	added ('OK')	image/jpeg	etag:%220d922c9df1e640e19223efb3af9648a5%22	https://wieisdemol.assets.avrotros.nl/_processed_/6/3/csm_NDM-thumbnail-finalisten_7da127f5e0.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/6/3/csm_NDM-thumbnail-finalisten_7da127f5e0.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:07	30384/30384	---M--	200	added ('OK')	image/jpeg	etag:%22af034cc0f9a821a4f538b7a85cce5ec7%22	https://wieisdemol.assets.avrotros.nl/_processed_/2/b/csm_NDM-thumbnail-Sarah_184ce00d37.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/2/b/csm_NDM-thumbnail-Sarah_184ce00d37.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:09	98647/98647	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:45:06%20GMT	https://wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-4-2/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/moltalk/item/moltalk-aflevering-4-2/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:09	97709/97709	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Feb%202024%2011:11:30%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-3-sander-de-kramer/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-3-sander-de-kramer/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:10	99686/99686	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Feb%202024%2011:11:41%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-8-de-finalisten/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-8-de-finalisten/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:10	98593/98593	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:45:08%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-1-sarah-janneh/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-1-sarah-janneh/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-4-annick-boer/)
18:45:10	66259/66259	---M--	200	added ('OK')	image/jpeg	etag:%22ea570fe72b66032921dcc54a4d14e556%22	https://wieisdemol.assets.avrotros.nl/_processed_/2/3/csm_NDM-thumbnail-Anke_8671055917.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/2/3/csm_NDM-thumbnail-Anke_8671055917.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-6-anke-de-jong/)
18:45:12	29536/29536	---M--	200	added ('OK')	image/jpeg	etag:%22f9279dad29a7af48d4f8b762e99592b4%22	https://wieisdemol.assets.avrotros.nl/_processed_/d/6/csm_7-TE-Anke-Daniel1280x720_3378b42a65.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/d/6/csm_7-TE-Anke-Daniel1280x720_3378b42a65.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-6-anke-de-jong/)
18:45:12	100533/100533	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2015:46:34%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-anke-de-jong/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/dagboek-van-de-afvaller-anke-de-jong/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-6-anke-de-jong/)
18:45:13	136396/136396	---M--	200	added ('OK')	image/png	etag:%2218128ea69e755350fe527eb4d3afd642%22	https://wieisdemol.assets.avrotros.nl/_processed_/4/f/csm_widm23-dagboek6_000819d0f0.png	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/4/f/csm_widm23-dagboek6_000819d0f0.png	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-6-anke-de-jong/)
18:45:13	23138/23138	---M--	200	added ('OK')	image/jpeg	etag:%22f20f074525f238d3cf091429fbb1e590%22	https://wieisdemol.assets.avrotros.nl/_processed_/9/d/csm_NDM-thumbnail-Nabil_150afd7c5d.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/_processed_/9/d/csm_NDM-thumbnail-Nabil_150afd7c5d.jpg	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-6-anke-de-jong/)
18:45:14	103266/103266	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:45:13%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol5-nabil-aoulad-ayad/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol5-nabil-aoulad-ayad/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-6-anke-de-jong/)
18:45:15	103177/103177	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:45:13%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/exclusief-reacties-op-de-eliminatie/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/exclusief-reacties-op-de-eliminatie/index.html	(from https://wieisdemol.avrotros.nl/afleveringen/item/niet-de-mol-6-anke-de-jong/)
